id,medicament_id,forme,dosage
101,17,EZETIMIBE/SIMVASTATINE BIOGARAN 10 mg/40 mg Cpr Plq/30 | Cip : 3400930095539 ; Modalités de conservation : Avant ouverture : durant 36 mois | Statut: Commercialisé,10 mg/40 mg Cpr Plq/30
102,17,EZETIMIBE/SIMVASTATINE BIOGARAN 10 mg/40 mg Cpr Plq/90 | Cip : 3400930095553 ; Modalités de conservation : Avant ouverture : durant 36 mois | Statut: Commercialisé,10 mg/40 mg Cpr Plq/90
103,17,EZETIMIBE/SIMVASTATINE BIOGARAN 10 mg/20 mg Cpr Plq/30 | Cip : 3400930095492 ; Modalités de conservation : Avant ouverture : durant 36 mois | Statut: Commercialisé,10 mg/20 mg Cpr Plq/30
104,17,EZETIMIBE/SIMVASTATINE BIOGARAN 10 mg/20 mg Cpr Plq/90 | Cip : 3400930095515 ; Modalités de conservation : Avant ouverture : durant 36 mois | Statut: Commercialisé,10 mg/20 mg Cpr Plq/90
105,18,comprimé (brun clair) ; boîte de 30,10 mg/20 mg
106,18,comprimé (brun clair) ; boîte de 90,10 mg/20 mg
107,18,comprimé (brun clair) ; boîte de 30,10 mg/40 mg
108,18,comprimé (brun clair) ; boîte de 90,10 mg/40 mg
109,18,EZETIMIBE/SIMVASTATINE CRISTERS 10 mg/40 mg Cpr Plq/30 | Cip : 3400930095454 ; Modalités de conservation : Avant ouverture : < 25° durant 24 mois | Statut: Supprimé,10 mg/40 mg Cpr Plq/30
110,18,EZETIMIBE/SIMVASTATINE CRISTERS 10 mg/40 mg Cpr Plq/90 | Cip : 3400930095478 ; Modalités de conservation : Avant ouverture : < 25° durant 24 mois | Statut: Supprimé,10 mg/40 mg Cpr Plq/90
111,18,EZETIMIBE/SIMVASTATINE CRISTERS 10 mg/20 mg Cpr Plq/30 | Cip : 3400930095416 ; Modalités de conservation : Avant ouverture : < 25° durant 24 mois | Statut: Supprimé,10 mg/20 mg Cpr Plq/30
112,18,EZETIMIBE/SIMVASTATINE CRISTERS 10 mg/20 mg Cpr Plq/90 | Cip : 3400930095430 ; Modalités de conservation : Avant ouverture : < 25° durant 24 mois | Statut: Supprimé,10 mg/20 mg Cpr Plq/90
113,19,EZETIMIBE/SIMVASTATINE CRISTERS PHARMA 10 mg/40 mg Cpr Plq unit/30 | Cip : 3400930108468 ; Modalités de conservation : Avant ouverture : < 25° durant 24 mois | Statut: Commercialisé,10 mg/40 mg Cpr Plq unit/30
114,19,EZETIMIBE/SIMVASTATINE CRISTERS PHARMA 10 mg/40 mg Cpr Plq unit/90 | Cip : 3400930108512 ; Modalités de conservation : Avant ouverture : < 25° durant 24 mois | Statut: Commercialisé,10 mg/40 mg Cpr Plq unit/90
115,19,EZETIMIBE/SIMVASTATINE CRISTERS PHARMA 10 mg/20 mg Cpr Plq/30 | Cip : 3400930108383 ; Modalités de conservation : Avant ouverture : < 25° durant 24 mois | Statut: Commercialisé,10 mg/20 mg Cpr Plq/30
116,19,EZETIMIBE/SIMVASTATINE CRISTERS PHARMA 10 mg/20 mg Cpr Plq/90 | Cip : 3400930108420 ; Modalités de conservation : Avant ouverture : < 25° durant 24 mois | Statut: Commercialisé,10 mg/20 mg Cpr Plq/90
117,20,comprimé (blanc) ; boîte de 30,10 mg/10 mg
118,20,comprimé (blanc) ; boîte de 90,10 mg/10 mg
119,20,comprimé (blanc) ; boîte de 30,10 mg/20 mg
120,20,comprimé (blanc) ; boîte de 90,10 mg/20 mg
121,20,comprimé (blanc) ; boîte de 30,10 mg/40 mg
122,20,comprimé (blanc) ; boîte de 90,10 mg/40 mg
123,20,comprimé (jaune) ; boîte de 30,10 mg/80 mg
124,20,comprimé (jaune) ; boîte de 90,10 mg/80 mg
125,20,EZETIMIBE/ATORVASTATINE VIATRIS 10 mg/80 mg Cpr pell Plq/30 | Cip : 3400930291900 ; Modalités de conservation : Avant ouverture : durant 24 mois | Statut: Commercialisé,10 mg/80 mg Cpr pell Plq/30
126,20,EZETIMIBE/ATORVASTATINE VIATRIS 10 mg/80 mg Cpr pell Plq/90 (2x45) | Cip : 3400930291917 ; Modalités de conservation : Avant ouverture : durant 24 mois | Statut: Commercialisé,10 mg/80 mg Cpr pell Plq/90 (2x45)
127,20,EZETIMIBE/ATORVASTATINE VIATRIS 10 mg/40 mg Cpr pell Plq/30 | Cip : 3400930291887 ; Modalités de conservation : Avant ouverture : durant 24 mois | Statut: Commercialisé,10 mg/40 mg Cpr pell Plq/30
128,20,EZETIMIBE/ATORVASTATINE VIATRIS 10 mg/40 mg Cpr pell Plq/90 | Cip : 3400930291894 ; Modalités de conservation : Avant ouverture : durant 24 mois | Statut: Commercialisé,10 mg/40 mg Cpr pell Plq/90
129,20,EZETIMIBE/ATORVASTATINE VIATRIS 10 mg/20 mg Cpr pell Plq/30 | Cip : 3400930291863 ; Modalités de conservation : Avant ouverture : durant 24 mois | Statut: Commercialisé,10 mg/20 mg Cpr pell Plq/30
130,20,EZETIMIBE/ATORVASTATINE VIATRIS 10 mg/20 mg Cpr pell Plq/90 | Cip : 3400930291870 ; Modalités de conservation : Avant ouverture : durant 24 mois | Statut: Commercialisé,10 mg/20 mg Cpr pell Plq/90
131,20,EZETIMIBE/ATORVASTATINE VIATRIS 10 mg/10 mg Cpr pell Plq/30 | Cip : 3400930291849 ; Modalités de conservation : Avant ouverture : durant 24 mois | Statut: Commercialisé,10 mg/10 mg Cpr pell Plq/30
132,20,EZETIMIBE/ATORVASTATINE VIATRIS 10 mg/10 mg Cpr pell Plq/90 | Cip : 3400930291856 ; Modalités de conservation : Avant ouverture : durant 24 mois | Statut: Commercialisé,10 mg/10 mg Cpr pell Plq/90
133,21,comprimé (blanc) ; boîte de 30,10 mg/10 mg
134,21,comprimé (blanc) ; boîte de 90,10 mg/10 mg
135,21,comprimé (blanc) ; boîte de 30,10 mg/20 mg
136,21,comprimé (blanc) ; boîte de 90,10 mg/20 mg
137,21,comprimé (blanc) ; boîte de 30,10 mg/40 mg
138,21,comprimé (blanc) ; boîte de 90,10 mg/40 mg
139,21,comprimé (blanc) ; boîte de 30,10 mg/80 mg
140,21,comprimé (blanc) ; boîte de 90,10 mg/80 mg
