id,medicament_id,nom_substance
8137,3551,"Ginkgo biloba, extrait sec de feuille"
8138,3551,ginkgo biloba extrait sec de feuille
8139,3552,"Ginkgo biloba, extrait sec de feuille"
8140,3552,ginkgo biloba extrait sec de feuille
8141,3553,"Ginkgo biloba, extrait sec de feuille"
8142,3553,ginkgo biloba extrait sec de feuille
8143,3554,"Ginkgo biloba, extrait sec de feuille"
8144,3554,ginkgo biloba extrait sec de feuille
8145,3555,rauwolfine
8146,3556,Fingolimod chlorhydrate
8147,3556,fingolimod chlorhydrate
8148,3557,Budésonide
8149,3557,Formotérol fumarate
8150,3557,budésonide
8151,3557,formotérol fumarate dihydrate
8152,3558,angiotensine II acétate
8153,3559,macimoréline acétate
8154,3560,Éthinylestradiol
8155,3560,Gestodène
8156,3560,gestodène
8157,3560,éthinylestradiol
8158,3561,Gestodène
8159,3561,Éthinylestradiol
8160,3561,gestodène
8161,3561,éthinylestradiol
8162,3562,gestodène
8163,3562,éthinylestradiol
8164,3563,Éthinylestradiol
8165,3563,Gestodène
8166,3563,gestodène
8167,3563,éthinylestradiol
8168,3564,Éthinylestradiol
8169,3564,Gestodène
8170,3564,gestodène
8171,3564,éthinylestradiol
8172,3565,Éthinylestradiol
8173,3565,Gestodène
8174,3565,gestodène
8175,3565,éthinylestradiol
8176,3566,Éthinylestradiol
8177,3566,Gestodène
8178,3566,gestodène
8179,3566,éthinylestradiol
8180,3567,Éthinylestradiol
8181,3567,Gestodène
8182,3567,gestodène
8183,3567,éthinylestradiol
8184,3569,Emtricitabine
8185,3569,Elvitégravir
8186,3569,Cobicistat
8187,3569,Ténofovir alafénamide
8188,3569,elvitégravir
8189,3569,cobicistat
8190,3569,emtricitabine
8191,3569,ténofovir alafénamide fumarate
8192,3570,succus citri [H]
8193,3570,succus cydoniae [H]
8194,3571,Somatropine (hormone de croissance humaine) recombinante
8195,3571,somatropine recombinante
8196,3572,timolol maléate
8197,3573,Somatropine (hormone de croissance humaine) recombinante
8198,3573,somatropine recombinante
8199,3574,gentamicine sulfate
8200,3575,caféine citrate
8201,3577,gemcitabine chlorhydrate
8202,3578,gemcitabine chlorhydrate
8203,3579,Gemcitabine
8204,3579,gemcitabine chlorhydrate
8205,3580,gemcitabine chlorhydrate
8206,3581,gemcitabine chlorhydrate
8207,3582,gemcitabine chlorhydrate
8208,3583,gemcitabine chlorhydrate
8209,3584,gemcitabine chlorhydrate
8210,3585,Monmectite
8211,3585,Aluminium hydroxyde
8212,3585,Magnésium hydroxyde
8213,3585,monmectite
8214,3585,aluminium hydroxyde
8215,3585,magnésium hydroxyde
8216,3586,Cystine
8217,3586,L-cystine
8218,3587,Aconitum napellus 2 DH
8219,3587,Arnica montana 3 DH
8220,3587,Arsenicum album 4 DH
8221,3587,Belladonna 3 DH
8222,3587,Chamomilla vulgaris 2 DH
8223,3587,Colocynthis 4 DH
8224,3587,Gelsemium 5 DH
8225,3587,Mezereum 5 DH
8226,3587,Nux vomica 3 DH
8227,3587,Rhus toxicodendron 8 DH
8228,3587,aconitum napellus [H]
8229,3587,arnica montana [H]
8230,3587,arsenicum album [H]
8231,3587,belladonna [H]
8232,3587,chamomilla vulgaris [H]
8233,3587,colocynthis [H]
8234,3587,gelsemium sempervirens [H]
8235,3587,mezereum [H]
8236,3587,nux vomica [H]
8237,3587,rhus toxicodendron [H]
8238,3588,gélatine fluide modifiée
8239,3589,Timolol
8240,3589,timolol maléate
8241,3590,Piroxicam
8242,3590,piroxicam
8243,3591,gélatine fluide modifiée
8244,3591,sodium chlorure
8245,3591,sodium acétate trihydrate
8246,3591,potassium chlorure
8247,3591,calcium chlorure dihydrate
8248,3591,magnésium chlorure hexahydrate
8249,3591,sodium
8250,3591,chlorure
8251,3591,potassium
8252,3591,calcium
8253,3591,magnésium
8254,3591,acétate
8255,3592,Calamine
8256,3592,Oxyde de zinc
8257,3592,calamine
8258,3592,zinc oxyde
8259,3593,Carbomère 974 P
8260,3593,carbomère 974 P
8261,3594,géfitinib
8262,3595,géfitinib
8263,3596,géfitinib
8264,3597,géfitinib
8265,3598,géfitinib
8266,3599,géfitinib
8267,3600,géfitinib
8268,3601,géfitinib
8269,3602,géfitinib
8270,3603,Glucuronamide
8271,3603,Acide ascorbique (vitamine C)
8272,3603,Caféine
8273,3603,glucuronamide
8274,3603,acide ascorbique
8275,3603,caféine
8276,3604,obinutuzumab
8277,3605,Alginate de sodium
8278,3605,Bicarbonate de potassium
8279,3605,sodium alginate
8280,3605,bicarbonate de potassium
8281,3606,Alginate de sodium
8282,3606,Bicarbonate de sodium
8283,3606,Carbonate de calcium
8284,3606,sodium alginate
8285,3606,bicarbonate de sodium
8286,3606,calcium carbonate
8287,3607,Alginate de sodium
8288,3607,Bicarbonate de sodium
8289,3607,Carbonate de calcium
8290,3607,sodium alginate
8291,3607,bicarbonate de sodium
8292,3607,calcium carbonate
8293,3608,pralsétinib
8294,3609,Attapulgite de Mormoiron activée
8295,3609,"Aluminium hydroxyde et magnésium carbonaté, gel"
8296,3609,attapulgite de Mormoiron activée
8297,3609,gel d'aluminium hydroxyde et de magnésium carbonate codesséchés
8298,3610,sodium alginate
8299,3610,bicarbonate de sodium
8300,3610,calcium carbonate
8301,3611,Carbonate de calcium
8302,3611,Trisilicate de magnésium
8303,3611,Carbonate de magnésium
8304,3611,Kaolin lourd
8305,3611,Bicarbonate de sodium
8306,3611,Hydroxyde de magnésium
8307,3611,Phosphate tricalcique
8308,3611,calcium carbonate
8309,3611,magnésium trisilicate
8310,3611,magnésium carbonate léger
8311,3611,kaolin lourd
8312,3611,bicarbonate de sodium
8313,3611,magnésium hydroxyde
8314,3611,phosphate tricalcique
8315,3612,sodium amidotrizoate
8316,3612,méglumine amidotrizoate
8317,3613,abies nigra [H]
8318,3613,carbo vegetabilis [H]
8319,3613,nux vomica [H]
8320,3613,robinia pseudo acacia [H]
8321,3614,Protéine L1 de papillomavirus humain de type 6
8322,3614,Protéine L1 de papillomavirus humain de type 11
8323,3614,Protéine L1 de papillomavirus humain de type16
8324,3614,Protéine L1 de papillomavirus humain de type 18
8325,3614,Protéine L1 de papillomavirus humain de type 31
8326,3614,Protéine L1 de papillomavirus humain de type 33
8327,3614,Protéine L1 de papillomavirus humain de type 45
8328,3614,Protéine L1 de papillomavirus humain de type 52
8329,3614,Protéine L1 de papillomavirus humain de type 58
8330,3614,protéine L1 de papillomavirus humain type 6
8331,3614,protéine L1 de papillomavirus humain type 11
8332,3614,protéine L1 de papillomavirus humain type 16
8333,3614,protéine L1 de papillomavirus humain type 18
8334,3614,protéine L1 de papillomavirus humain type 31
8335,3614,protéine L1 de papillomavirus humain type 33
8336,3614,protéine L1 de papillomavirus humain type 45
8337,3614,protéine L1 de papillomavirus humain type 52
8338,3614,protéine L1 de papillomavirus humain type 58
8339,3615,ganirélix acétate
8340,3616,ganirélix acétate
8341,3617,Phénobarbital
8342,3617,phénobarbital sodique
8343,3617,phénobarbital
8344,3618,ganciclovir sodique
8345,3619,ganciclovir sodique
8346,3620,immunoglobulines humaines normales
8347,3621,immunoglobulines humaines anti-tétaniques
8348,3622,Bimatoprost
8349,3622,Timolol
8350,3622,bimatoprost
8351,3622,timolol maléate
8352,3623,immunoglobulines humaines normales
8353,3624,immunoglobulines humaines normales
8354,3625,oxybate de sodium
8355,3627,Vildagliptine
8356,3627,vildagliptine
8357,3628,germanium 68
8358,3629,germanium 68
8359,3630,Galantamine
8360,3630,galantamine bromhydrate
8361,3631,Galantamine
8362,3631,galantamine bromhydrate
8363,3632,Galantamine
8364,3632,galantamine bromhydrate
8365,3633,Galantamine
8366,3633,galantamine bromhydrate
8367,3634,Galantamine
8368,3634,galantamine bromhydrate
8369,3635,Galantamine
8370,3635,galantamine bromhydrate
8371,3636,migalastat chlorhydrate
8372,3637,Tiagabine
8373,3637,tiagabine chlorhydrate monohydrate
8374,3638,gadobutrol
8375,3639,Galantamine
8376,3639,galantamine bromhydrate
8377,3640,Gabapentine
8378,3640,gabapentine
8379,3641,Gabapentine
8380,3641,gabapentine
8381,3642,Gabapentine
8382,3642,gabapentine
8383,3643,Gabapentine
8384,3643,gabapentine
8385,3644,Gabapentine
8386,3644,gabapentine
8387,3645,Gabapentine
8388,3645,gabapentine
8389,3646,Gabapentine
8390,3646,gabapentine
8391,3647,Gabapentine
8392,3647,gabapentine
8393,3648,Gabapentine
8394,3648,gabapentine
8395,3649,gabapentine
8396,3650,Gabapentine
8397,3650,gabapentine
8398,3651,Gabapentine
8399,3651,gabapentine
8400,3652,Gabapentine
8401,3652,gabapentine
8402,3653,Gabapentine
8403,3653,gabapentine
8404,3654,Gabapentine
8405,3654,gabapentine
8406,3655,Gabapentine
8407,3655,gabapentine
8408,3656,Gabapentine
8409,3656,gabapentine
8410,3658,Enfuvirtide
8411,3658,enfuvirtide
8412,3659,Pérampanel
8413,3659,pérampanel
8414,3660,"Acide fusidique, sel de sodium"
8415,3660,acide fusidique sel de Na
8416,3661,"Acide fusidique, sel de sodium"
8417,3661,acide fusidique sel de Na
8418,3662,Fusidate de sodium
8419,3662,acide fusidique sel de Na
8420,3663,Fusidate de sodium
8421,3663,acide fusidique sel de Na
8422,3664,acide fusidique sel de Na
8423,3665,furosémide
8424,3666,Furosémide
8425,3666,furosémide
8426,3667,Furosémide
8427,3667,furosémide
8428,3668,Furosémide
8429,3668,furosémide
8430,3669,Furosémide
8431,3669,furosémide
8432,3670,furosémide
8433,3671,furosémide
8434,3672,Furosémide
8435,3672,furosémide
8436,3673,furosémide
8437,3674,Furosémide
8438,3674,furosémide
8439,3675,Furosémide
8440,3675,furosémide
8441,3676,Furosémide
8442,3676,furosémide
8443,3677,furosémide
8444,3679,Nitrofurantoïne
8445,3679,nitrofurantoïne
8446,3680,Terbinafine
8447,3680,terbinafine chlorhydrate
8448,3681,Furosémide
8449,3681,furosémide
8450,3682,Fumarate ferreux
8451,3682,fumarate ferreux
8452,3683,Amphotéricine B
8453,3683,amphotéricine B
8454,3684,Fulvestrant
8455,3684,fulvestrant
8456,3685,Fulvestrant
8457,3685,fulvestrant
8458,3686,Fulvestrant
8459,3686,fulvestrant
8460,3687,Fulvestrant
8461,3687,fulvestrant
8462,3688,fulvestrant
8463,3689,Fulvestrant
8464,3689,fulvestrant
8465,3690,Fulvestrant
8466,3690,fulvestrant
8467,3691,Fulvestrant
8468,3691,fulvestrant
8469,3692,Fulvestrant
8470,3692,fulvestrant
8471,3693,Fucus vesiculosus 2 DH
8472,3693,Antimonium crudum 5 DH
8473,3693,Alchemilla vulgaris 2 DH
8474,3693,Calcarea acetica 2 DH
8475,3693,fucus vesiculosus [H]
8476,3693,antimonium crudum [H]
8477,3693,alchemilla vulgaris [H]
8478,3693,calcarea acetica [H]
8479,3694,pegfilgrastim
8480,3695,Acide fusidique
8481,3695,acide fusidique
8482,3696,Frovatriptan
8483,3696,frovatriptan succinate monohydrate
8484,3697,Picosulfate de sodium
8485,3697,sodium picosulfate
8486,3698,fruquintinib
8487,3699,"Acide fusidique, sel de sodium"
8488,3699,Acide fusidique
8489,3699,acide fusidique sel de Na
8490,3699,acide fusidique
8491,3700,Frovatriptan
8492,3700,frovatriptan succinate monohydrate
8493,3701,Dexaméthasone phosphate disodique
8494,3701,Framycétine
8495,3701,Polymyxine B sulfate
8496,3701,dexaméthasone phosphate sodique
8497,3701,polymyxine B sulfate
8498,3701,framycétine sulfate
8499,3702,"Nadroparine calcique, exprimée en UI anti-Xa"
8500,3702,nadroparine calcique
8501,3703,Frovatriptan
8502,3703,frovatriptan succinate monohydrate
8503,3704,"Nadroparine calcique, exprimée en UI anti-Xa"
8504,3704,nadroparine calcique
8505,3705,Fraction flavonoïque purifiée
8506,3705,fraction flavonoïque purifiée micronisée
8507,3706,Urofollitropine (FSH)
8508,3706,urofollitropine
8509,3707,Dexaméthasone phosphate sodique
8510,3707,Framycétine sulfate
8511,3707,framycétine sulfate
8512,3707,dexaméthasone phosphate sodique
8513,3708,Daltéparine sodique en UI anti-Xa
8514,3708,daltéparine sodique
8515,3709,fostemsavir trométamol
8516,3710,Fosinopril
8517,3710,Hydrochlorothiazide
8518,3710,fosinopril sodique
8519,3710,hydrochlorothiazide
8520,3712,poisson huile riche en acides gras oméga 3
8521,3712,olive huile raffinée
8522,3712,sodium acétate trihydrate
8523,3712,soja huile raffinée
8524,3712,potassium chlorure
8525,3712,triglycérides à chaîne moyenne
8526,3712,acides aminés
8527,3712,sodium glycérophosphate hydrate
8528,3712,zinc sulfate heptahydrate
8529,3712,calcium chlorure dihydrate
8530,3712,magnésium sulfate heptahydrate
8531,3712,azote
8532,3712,glucose monohydrate
8533,3713,lanthane carbonate hydrate
8534,3714,Fosinopril
8535,3714,Hydrochlorothiazide
8536,3714,fosinopril sodique
8537,3714,hydrochlorothiazide
8538,3715,Fosinopril
8539,3715,Hydrochlorothiazide
8540,3715,fosinopril sodique
8541,3715,hydrochlorothiazide
8542,3716,Fosinopril
8543,3716,Hydrochlorothiazide
8544,3716,fosinopril sodique
8545,3716,hydrochlorothiazide
8546,3717,Fosinopril
8547,3717,fosinopril sodique
8548,3718,Fosinopril
8549,3718,fosinopril sodique
8550,3719,Fosinopril
8551,3719,Hydrochlorothiazide
8552,3719,fosinopril sodique
8553,3719,hydrochlorothiazide
8554,3720,Fosinopril
8555,3720,Hydrochlorothiazide
8556,3720,fosinopril sodique
8557,3720,hydrochlorothiazide
